,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
14689,1,0,0,1,0,0,1,1,0,1,1,1,3
2399,1,0,1,1,0,0,1,0,0,0,1,0,3
5259,0,0,1,1,0,0,1,1,0,0,1,0,3
8388,0,0,1,1,0,0,1,1,0,0,1,0,3
3870,1,0,1,1,0,1,1,1,0,1,1,1,3
2625,1,0,1,1,0,0,1,1,0,1,1,0,0
10530,1,0,1,1,0,0,1,1,0,1,1,1,2
14546,1,0,1,1,0,0,1,1,0,1,1,1,5
14239,0,0,1,1,0,0,1,1,0,0,1,0,0
14985,0,0,1,1,0,0,1,1,1,0,1,0,0
9054,1,0,1,1,0,0,1,1,0,0,1,1,1
6145,0,0,1,1,1,0,1,1,0,0,1,0,3
8656,0,0,1,1,0,0,1,1,0,0,1,0,3
17808,1,0,1,1,0,0,1,0,0,0,1,0,0
14033,1,0,0,1,0,0,1,1,0,0,1,0,0
15457,1,0,1,1,0,0,1,1,0,1,1,1,3
12131,1,0,1,1,0,0,1,1,0,0,1,1,3
18299,0,0,1,1,0,0,1,1,0,0,1,0,3
13300,1,0,1,1,0,0,1,1,0,1,1,1,0
8533,0,0,1,1,0,0,1,1,0,0,1,0,3
4835,1,0,1,1,0,0,1,0,0,1,1,1,3
1821,1,0,1,1,0,0,1,1,0,0,1,1,2
12540,1,0,1,1,0,0,1,1,0,1,1,0,3
8908,1,0,1,1,0,0,1,1,0,0,1,1,2
6292,1,0,1,1,0,0,1,1,0,0,1,1,2
11276,1,1,1,1,0,0,1,1,0,1,1,1,0
12532,1,0,1,1,0,0,1,1,0,0,1,1,1
1895,1,0,0,1,0,0,1,1,0,0,1,0,2
12932,1,0,1,1,0,0,1,1,0,0,1,1,3
16362,0,0,1,0,0,0,1,1,0,0,1,0,0
6455,1,0,1,1,0,0,1,1,0,0,1,1,1
14962,1,0,1,1,0,0,1,1,0,0,1,0,3
9240,1,0,1,1,0,0,1,1,0,0,0,1,3
2746,1,0,1,1,0,0,1,0,0,0,1,0,2
1154,1,0,1,1,0,0,1,1,0,0,1,0,3
2977,0,0,1,1,1,0,1,1,0,0,1,0,0
1923,0,0,1,0,0,0,1,1,0,0,1,0,1
11217,1,0,1,1,0,0,1,1,0,1,1,1,0
12230,1,0,1,1,0,0,1,1,0,0,0,1,2
6498,0,0,1,1,0,0,1,1,0,0,1,0,2
13056,1,0,1,1,0,0,1,1,0,0,1,1,3
17957,1,0,1,1,0,0,1,0,0,1,1,0,3
9074,1,1,1,1,0,0,1,1,0,0,1,1,0
10683,0,0,1,1,0,0,1,1,0,0,1,0,0
11916,1,0,0,1,0,0,1,1,0,0,1,0,0
15396,1,0,1,1,0,0,1,1,0,0,1,1,2
362,1,0,1,1,0,0,1,1,0,0,1,1,3
5461,1,0,1,1,0,0,1,0,0,0,1,1,3
13601,0,1,1,1,0,0,1,1,1,0,1,1,2
1714,1,0,1,1,0,0,1,1,0,0,0,1,1
5030,1,0,1,1,0,0,1,1,0,0,1,1,1
12486,0,0,1,1,0,0,1,0,1,0,1,0,0
2775,0,0,1,1,0,0,1,1,0,0,1,0,2
17911,1,0,1,1,0,0,1,0,0,0,1,0,2
15823,0,0,1,1,0,0,1,1,0,0,1,0,0
4319,0,0,1,1,0,0,1,1,0,0,1,0,3
6310,0,0,1,0,0,0,1,1,1,0,1,1,0
1434,1,0,1,1,0,0,1,0,0,0,1,0,2
16418,0,1,1,1,0,0,1,1,0,0,1,1,2
8739,0,0,1,1,0,0,1,1,0,0,1,0,3
16900,1,0,1,1,0,0,1,1,0,0,1,1,2
14476,0,0,0,1,0,0,1,1,0,0,0,0,3
1964,0,1,1,1,0,0,1,1,0,0,1,1,0
12711,0,1,1,0,0,0,1,1,1,0,1,1,1
470,1,0,1,1,0,0,1,1,0,1,1,1,2
7732,1,0,1,1,0,0,1,0,0,0,1,0,3
673,1,0,1,1,0,0,1,1,0,1,1,1,3
11682,0,0,1,1,0,0,1,1,0,0,1,0,3
719,0,0,1,1,0,0,1,1,1,0,1,0,0
4542,1,0,1,1,1,0,1,1,0,0,1,0,3
3713,0,0,1,1,0,0,1,1,1,0,1,0,3
16733,1,0,1,1,0,0,1,1,0,0,1,0,0
15201,1,0,1,1,0,0,1,1,0,0,1,0,1
12559,0,0,1,1,0,0,1,1,1,0,1,0,3
7851,0,0,1,1,0,0,1,1,1,0,1,0,0
224,0,0,0,1,0,0,1,1,0,0,1,1,0
18725,0,0,1,1,0,0,0,1,1,0,1,0,0
1531,1,0,1,1,0,0,1,1,0,1,0,1,0
14026,0,0,1,1,0,0,1,1,0,0,0,0,3
7380,0,0,1,1,0,0,1,1,0,0,1,0,0
1623,0,1,1,1,0,0,1,1,0,0,1,1,3
1284,0,0,1,0,0,0,1,1,0,0,1,0,3
15553,0,0,1,1,1,0,0,1,0,0,1,0,0
15488,0,0,1,1,0,0,1,1,1,0,1,0,1
8440,1,0,1,1,0,0,1,1,0,0,1,1,3
3261,1,1,1,1,0,0,1,0,0,1,1,0,0
655,1,0,1,1,0,0,1,1,0,0,1,1,3
18396,0,0,1,1,0,0,1,1,0,0,1,0,3
10383,1,1,0,1,0,0,1,1,0,1,1,0,0
17497,1,0,1,1,0,0,1,1,0,0,1,1,2
14643,1,1,0,1,0,0,1,1,0,0,1,0,0
9990,0,0,1,1,0,0,1,1,0,0,1,0,0
16798,1,0,1,1,0,0,1,1,0,0,0,1,3
13947,0,0,1,1,0,0,1,1,0,0,1,0,0
16623,1,0,1,1,0,0,1,1,1,0,1,0,0
4230,1,0,1,1,0,0,1,0,0,0,1,1,2
6378,1,0,1,1,0,0,1,1,0,1,1,1,3
8045,1,0,1,1,0,0,1,1,0,0,1,0,2
554,0,0,1,1,0,0,1,1,1,0,1,0,3
10842,1,0,0,1,0,0,1,1,1,0,1,0,2
8756,0,0,1,1,0,0,1,0,0,0,1,0,2
6876,1,1,1,1,0,0,1,1,0,1,1,1,2
9929,1,0,1,1,0,0,1,1,0,1,1,1,3
18750,0,0,1,1,1,0,0,1,0,0,0,0,3
4491,1,0,1,1,0,0,1,0,0,0,1,1,3
8232,1,0,0,1,0,0,1,1,0,0,1,0,3
1039,0,0,1,1,0,0,1,1,0,0,1,0,0
14167,0,0,1,1,0,0,1,1,0,0,1,0,0
10733,1,0,0,1,0,0,1,1,0,1,0,1,3
15486,1,0,1,1,0,0,1,1,0,1,1,1,2
